Ticker,Company,n_positions,avg_trade,total_pnl,worst_trade,best_trade,win_rate,avg_si
PNR,Pantoro Limited,2,0.27785085997616915,0.009265852988036831,0.27500000657404167,0.28070171337829664,1.0,0.15
HFR,Highfield Res Ltd,2,0.2773819322023487,0.009246064406744957,0.22535207247454903,0.32941179193014836,1.0,1.02
IPD,Impedimed Limited,12,0.04404144329960081,0.009127163819381954,-0.6060605957980982,0.5,0.6666666666666666,0.505
SLX,Silex Systems,26,0.020721782636806553,0.009071277635185589,-0.3079999923706054,0.337096732265618,0.5769230769230769,6.433461538461539
NUH,Nuheara Limited,11,0.048658482976623604,0.008824015903510823,-0.05555434748790877,0.28695651497867936,0.45454545454545453,0.017272727272727273
DEV,Devex Resources Ltd,21,0.025805206463144298,0.008632848323304146,-0.3666666004392862,0.23595502796144252,0.5714285714285714,0.22095238095238093
ASB,Austal Limited,10,0.047926823822327866,0.008347990707653777,-0.1413427936929439,0.2593123120105374,0.8,0.6519999999999999
MVP,Medical Developments,21,0.02306035641811809,0.00811772778004223,-0.4838709826275913,0.37500002429537105,0.6190476190476191,0.3180952380952381
COH,Cochlear Limited,2,0.21313882258207245,0.0074791144649556515,-0.0018490016229804063,0.4281266467871253,0.5,4.615
EML,Emerchants Ltd,13,0.03093767684649669,0.007446241813908473,-0.49677419652551835,0.3217391412515047,0.6153846153846154,2.576923076923077
DMP,Domino Pizza Enterpr,10,0.041153285745728165,0.007202607220762725,-0.10378642776795477,0.3296573333042696,0.5,8.881
NEU,Neuren Pharmaceut.,15,0.02694279948873625,0.006647861117117031,-0.19367904052636642,0.2305403867596152,0.6,4.4159999999999995
KAR,Karoon Gas Australia,7,0.05440040230256799,0.006377815034493922,-0.022624603683082833,0.153124407448189,0.8571428571428571,2.2028571428571424
PNV,Polynovo Limited,19,0.018230018891452694,0.005819304548617558,-0.1842105620895842,0.31578947068221364,0.5263157894736842,7.152631578947369
