model,strategy,filter,trail_months,threshold_pct,period,n_months,skipped_short_months,Sharpe,CAGR_%,MaxDD_%,hit_rate_%
ew,quintile_short,trail6m>20%,6,20,IS,156,1,-0.218,-10.56,-85.9,44.9
ew,quintile_short,trail6m>20%,6,20,OOS,35,0,-0.079,-4.08,-36.61,51.4
ew,long_short_quintile,trail6m>20%,6,20,ALL,191,1,0.576,10.15,-57.63,59.2
ew,long_short_quintile,trail6m>20%,6,20,IS,156,1,0.505,8.64,-57.63,61.5
ew,long_short_quintile,trail6m>20%,6,20,OOS,35,0,0.913,17.17,-16.55,48.6
logit,quintile_short,NONE,0,0,ALL,154,0,-0.365,-11.34,-84.09,43.5
logit,quintile_short,NONE,0,0,IS,119,0,-0.405,-12.77,-81.91,42.0
logit,quintile_short,NONE,0,0,OOS,35,0,-0.204,-6.3,-40.93,48.6
logit,long_short_quintile,NONE,0,0,ALL,154,0,0.241,2.58,-37.56,54.5
logit,long_short_quintile,NONE,0,0,IS,119,0,0.24,2.5,-37.56,56.3
logit,long_short_quintile,NONE,0,0,OOS,35,0,0.242,2.86,-37.11,48.6
logit,quintile_short,trail3m>5%,3,5,ALL,154,41,-0.229,-7.05,-69.13,33.1
logit,quintile_short,trail3m>5%,3,5,IS,119,32,-0.342,-10.11,-69.13,30.3
logit,quintile_short,trail3m>5%,3,5,OOS,35,9,0.348,4.18,-21.35,42.9
logit,long_short_quintile,trail3m>5%,3,5,ALL,154,41,0.273,2.75,-34.82,40.9
logit,long_short_quintile,trail3m>5%,3,5,IS,119,32,0.147,1.07,-34.82,42.0
logit,long_short_quintile,trail3m>5%,3,5,OOS,35,9,0.668,8.7,-21.05,37.1
logit,quintile_short,trail3m>10%,3,10,ALL,154,9,-0.327,-10.1,-79.62,40.3
logit,quintile_short,trail3m>10%,3,10,IS,119,8,-0.386,-11.86,-76.4,37.8
logit,quintile_short,trail3m>10%,3,10,OOS,35,1,-0.088,-3.84,-40.93,48.6
logit,long_short_quintile,trail3m>10%,3,10,ALL,154,9,0.265,2.89,-37.12,52.6
logit,long_short_quintile,trail3m>10%,3,10,IS,119,8,0.258,2.65,-37.12,53.8
logit,long_short_quintile,trail3m>10%,3,10,OOS,35,1,0.287,3.7,-37.11,48.6
logit,quintile_short,trail3m>15%,3,15,ALL,154,1,-0.33,-10.45,-81.92,43.5
logit,quintile_short,trail3m>15%,3,15,IS,119,1,-0.361,-11.63,-79.45,42.0
logit,quintile_short,trail3m>15%,3,15,OOS,35,0,-0.204,-6.3,-40.93,48.6
logit,long_short_quintile,trail3m>15%,3,15,ALL,154,1,0.291,3.36,-37.2,54.5
logit,long_short_quintile,trail3m>15%,3,15,IS,119,1,0.309,3.51,-37.2,56.3
logit,long_short_quintile,trail3m>15%,3,15,OOS,35,0,0.242,2.86,-37.11,48.6
logit,quintile_short,trail3m>20%,3,20,ALL,154,1,-0.33,-10.45,-81.92,43.5
logit,quintile_short,trail3m>20%,3,20,IS,119,1,-0.361,-11.63,-79.45,42.0
logit,quintile_short,trail3m>20%,3,20,OOS,35,0,-0.204,-6.3,-40.93,48.6
logit,long_short_quintile,trail3m>20%,3,20,ALL,154,1,0.291,3.36,-37.2,54.5
logit,long_short_quintile,trail3m>20%,3,20,IS,119,1,0.309,3.51,-37.2,56.3
logit,long_short_quintile,trail3m>20%,3,20,OOS,35,0,0.242,2.86,-37.11,48.6
logit,quintile_short,trail6m>5%,6,5,ALL,154,58,-0.262,-7.58,-70.21,26.0
logit,quintile_short,trail6m>5%,6,5,IS,119,45,-0.244,-7.87,-66.51,26.1
logit,quintile_short,trail6m>5%,6,5,OOS,35,13,-0.361,-6.61,-36.29,25.7
logit,long_short_quintile,trail6m>5%,6,5,ALL,154,58,0.273,2.57,-26.71,34.4
logit,long_short_quintile,trail6m>5%,6,5,IS,119,45,0.339,3.39,-26.71,35.3
logit,long_short_quintile,trail6m>5%,6,5,OOS,35,13,0.043,-0.17,-25.66,31.4
logit,quintile_short,trail6m>10%,6,10,ALL,154,25,-0.129,-5.59,-65.72,38.3
logit,quintile_short,trail6m>10%,6,10,IS,119,21,-0.121,-5.67,-63.72,37.8
logit,quintile_short,trail6m>10%,6,10,OOS,35,4,-0.159,-5.29,-37.38,40.0
logit,long_short_quintile,trail6m>10%,6,10,ALL,154,25,0.478,6.05,-33.29,48.1
logit,long_short_quintile,trail6m>10%,6,10,IS,119,21,0.533,6.4,-28.74,48.7
logit,long_short_quintile,trail6m>10%,6,10,OOS,35,4,0.35,4.86,-33.29,45.7
logit,quintile_short,trail6m>15%,6,15,ALL,154,4,-0.336,-10.56,-82.22,42.9
logit,quintile_short,trail6m>15%,6,15,IS,119,4,-0.369,-11.78,-79.78,41.2
logit,quintile_short,trail6m>15%,6,15,OOS,35,0,-0.204,-6.3,-40.93,48.6
logit,long_short_quintile,trail6m>15%,6,15,ALL,154,4,0.256,2.82,-38.28,53.2
logit,long_short_quintile,trail6m>15%,6,15,IS,119,4,0.262,2.81,-38.28,54.6
logit,long_short_quintile,trail6m>15%,6,15,OOS,35,0,0.242,2.86,-37.11,48.6
logit,quintile_short,trail6m>20%,6,20,ALL,154,1,-0.365,-11.33,-84.07,43.5
logit,quintile_short,trail6m>20%,6,20,IS,119,1,-0.405,-12.76,-81.9,42.0
logit,quintile_short,trail6m>20%,6,20,OOS,35,0,-0.204,-6.3,-40.93,48.6
logit,long_short_quintile,trail6m>20%,6,20,ALL,154,1,0.23,2.4,-38.93,53.9
logit,long_short_quintile,trail6m>20%,6,20,IS,119,1,0.225,2.27,-38.93,55.5
logit,long_short_quintile,trail6m>20%,6,20,OOS,35,0,0.242,2.86,-37.11,48.6
