Ticker,Company,mktCap,ShortPct,score_naive,score_ew,score_logit,score_gbm_cls,score_gbm_rank,consensus_rk,SI,SI z,mom,vol,P/E,FCF-y,ROE,D/E,growth
MP1,MEGAPORT LIMITED ORDINARY,2160702752.0,5.81,0.8724137931034482,0.9689655172413794,0.547468085560902,0.4350230309061656,-0.8697023910983865,0.8441176470588235,0.8724137931034482,0.9275862068965517,0.006896551724137945,0.9448275862068966,0.5,0.596551724137931,0.8,0.40344827586206894,0.27586206896551724
ING,INGHAMS GROUP ORDINARY,925533000.0,7.63,0.903448275862069,0.6103448275862069,0.606343507894565,0.4921033404324754,-1.1892292292671927,0.8330882352941178,0.903448275862069,0.6482758620689655,0.2896551724137931,0.8689655172413793,0.635,0.11379310344827587,0.28620689655172415,0.993103448275862,0.4862068965517241
MYX,MAYNE PHARMA LTD ORDINARY,252674521.0,2.97,0.7103448275862069,0.9517241379310345,0.5509011373705099,0.47042398460068235,-0.9313341577365077,0.8227941176470589,0.7103448275862069,0.7827586206896552,0.5310344827586206,0.7517241379310344,0.5,0.8310344827586207,0.8034482758620689,0.29310344827586204,0.3620689655172413
NXT,NEXTDC LIMITED ORDINARY,7908854721.0,8.31,0.9206896551724137,0.8224137931034483,0.5464772030659438,0.537456263828139,-1.5830450870083643,0.8150735294117647,0.9206896551724137,0.6206896551724138,0.18965517241379315,0.06551724137931035,0.5,0.9482758620689655,0.7206896551724138,0.6275862068965518,0.48275862068965514
SHV,SELECT HARVESTS ORDINARY,549956562.0,2.04,0.603448275862069,0.6620689655172414,0.6032826028182579,0.4942119153903646,-0.9246683392910369,0.7926470588235295,0.603448275862069,0.46551724137931033,0.4172413793103448,0.8103448275862069,0.155,0.9551724137931035,0.4241379310344827,0.6655172413793103,0.9655172413793104
WEB,WEB TRAVEL GROUP LTD ORDINARY,943099169.0,5.56,0.8568965517241379,0.9344827586206896,0.6038692412984854,0.3365926809978614,-0.9402227618536141,0.792279411764706,0.8568965517241379,0.8413793103448276,0.6379310344827587,0.896551724137931,0.87,0.5103448275862069,0.6206896551724138,0.5448275862068965,0.6396551724137931
IMU,IMUGENE LIMITED ORDINARY,106514783.0,1.47,0.503448275862069,1.0,0.563356420106391,0.4053866578806961,-0.284489745188649,0.786764705882353,0.503448275862069,0.1793103448275862,0.9689655172413794,0.9896551724137931,0.5,0.9793103448275862,0.9896551724137931,0.28620689655172415,0.9810344827586207
PNV,POLYNOVO LIMITED ORDINARY,849588272.0,8.02,0.9137931034482759,0.9827586206896551,0.5443154850546456,0.4002718246740334,-1.4615085735413036,0.7860294117647059,0.9137931034482759,0.0034482758620689655,0.05517241379310345,0.8793103448275862,1.0,0.6758620689655173,0.6862068965517241,0.506896551724138,0.506896551724138
PLS,PLS GROUP LTD ORDINARY,13590079560.0,11.53,0.9827586206896551,0.8793103448275862,0.5390041388921095,0.33618256398928664,-0.1956739762729269,0.7852941176470588,0.9827586206896551,0.4827586206896552,0.04137931034482756,0.38275862068965516,0.98,0.6137931034482759,0.6586206896551724,0.4103448275862069,0.07241379310344831
SLX,SILEX SYSTEMS ORDINARY,2310500363.0,8.12,0.9172413793103448,0.8862068965517241,0.552564102147684,0.38965677139005445,-1.3281837855498058,0.7823529411764706,0.9172413793103448,0.3724137931034483,0.32413793103448274,0.49310344827586206,0.5,0.6103448275862069,0.8586206896551725,0.1,0.01379310344827589
