feature,mean_abs_shap
key_metrics_daysOfInventoryOutstanding_rk,0.005728055640018221
ratios_inventoryTurnover_rk,0.005696499008294517
balance_sheet_totalPayables_rk,0.005683784282543467
income_statement_incomeTaxExpense_rk,0.005673953028619224
financial_growth_tenYBottomLineNetIncomeGrowthPerShare_rk,0.005641106582644078
balance_sheet_accumulatedOtherComprehensiveIncomeLoss_rk,0.0056368763209615905
ratios_longTermDebtToCapitalRatio_rk,0.0055304125963923515
cash_flow_cashAtEndOfPeriod_rk,0.005498975372250492
accountsPayables_rk,0.0054699741981286115
income_statement_depreciationAndAmortization_rk,0.00546154805063851
ratios_pretaxProfitMargin_rk,0.0054041586838103235
balance_sheet_totalInvestments_rk,0.005392503923341985
key_metrics_cashConversionCycle_rk,0.005386326659668271
key_metrics_investedCapital_rk,0.005358221110784289
key_metrics_grahamNumber_rk,0.005342350307326146
balance_sheet_goodwillAndIntangibleAssets_rk,0.00531178273521202
balance_sheet_cashAndShortTermInvestments_rk,0.005303000937659133
financial_growth_tenYOperatingCFGrowthPerShare_rk,0.0052929358496096165
balance_sheet_longTermDebt_rk,0.005287061525483891
ratios_currentRatio_rk,0.005266954227313113
otherLiabilities_rk,0.005211693099355628
key_metrics_grahamNetNet_rk,0.00519898757993378
financial_growth_netIncomeGrowth_rk,0.005114967495679613
interestPaid_rk,0.005112216411917542
ratios_debtToEquityRatio_rk,0.005052219414974429
cash_flow_netCashProvidedByInvestingActivities_rk,0.005045202897207076
ratios_freeCashFlowPerShare_rk,0.005034706765091657
key_metrics_earningsYield_rk,0.005004700775443215
cash_flow_netCommonStockIssuance_rk,0.004989951389593895
financial_growth_tenYNetIncomeGrowthPerShare_rk,0.00496240572850007
returnOnEquity_rk,0.004955625251267301
key_metrics_returnOnTangibleAssets_rk,0.0049465752835922356
ratios_cashPerShare_rk,0.004920875288731475
ratios_assetTurnover_rk,0.004914057056812222
cash_flow_depreciationAndAmortization_rk,0.0048890826191039065
income_statement_costOfRevenue_rk,0.004864513555577514
balance_sheet_commonStock_rk,0.004809730378555768
cfo_to_ni_rk,0.004774083967931754
balance_sheet_totalStockholdersEquity_rk,0.004772837521250542
key_metrics_evToFreeCashFlow_rk,0.00474322271546846
ratios_priceToFreeCashFlowRatio_rk,0.004732714262234199
key_metrics_enterpriseValue_rk,0.004707806148945778
financial_growth_fiveYBottomLineNetIncomeGrowthPerShare_rk,0.004707075329749621
income_statement_eps_rk,0.0046452546909029275
balance_sheet_longTermInvestments_rk,0.004630869424589255
income_statement_totalOtherIncomeExpensesNet_rk,0.004630057554349843
ratios_forwardPriceToEarningsGrowthRatio_rk,0.004451462709074773
ratios_dividendPaidAndCapexCoverageRatio_rk,0.004444911611766929
income_statement_netIncomeFromContinuingOperations_rk,0.004416889417349407
ratios_bottomLineProfitMargin_rk,0.004407872688945661
key_metrics_operatingReturnOnAssets_rk,0.0043879571690385935
ratios_priceToEarningsRatio_rk,0.004383002286631466
ratios_bookValuePerShare_rk,0.00435685210740985
cash_flow_cashAtBeginningOfPeriod_rk,0.004352718861275779
key_metrics_netCurrentAssetValue_rk,0.0043407722155153206
income_statement_operatingExpenses_rk,0.004325528657116348
ratios_solvencyRatio_rk,0.004241974875273302
financial_growth_epsdilutedGrowth_rk,0.004166825264534433
otherExpenses_rk,0.0041625502172924255
financial_growth_fiveYNetIncomeGrowthPerShare_rk,0.004145354082909959
inventoryGrowth_rk,0.004067729253375679
shortTermInvestments_rk,0.0040657729770976975
income_statement_weightedAverageShsOut_rk,0.004056556055935383
ratios_capexPerShare_rk,0.00401368999737139
key_metrics_daysOfSalesOutstanding_rk,0.003974464417571039
key_metrics_evToOperatingCashFlow_rk,0.0039724293562830365
income_statement_epsDiluted_rk,0.003970130153922358
balance_sheet_totalLiabilities_rk,0.003948821889293529
income_statement_ebit_rk,0.003941876199798584
averageInventory_rk,0.0039371180354646285
balance_sheet_cashAndCashEquivalents_rk,0.003933019027407575
ebitda_rk,0.0038884212600490643
rdexpenseGrowth_rk,0.003868717126577914
income_statement_weightedAverageShsOutDil_rk,0.0038054303941540846
balance_sheet_totalNonCurrentAssets_rk,0.0037975180420602283
enterprise_values_addTotalDebt_rk,0.0037898946402015405
otherAdjustmentsToNetIncome_rk,0.003770930539757671
netReceivables_rk,0.0037591419590037286
otherAssets_rk,0.003750099059571597
income_statement_operatingIncome_rk,0.0037311539018412814
goodwill_rk,0.003726074097379102
income_statement_sellingGeneralAndAdministrativeExpenses_rk,0.0036983263484419407
balance_sheet_totalCurrentLiabilities_rk,0.0036944755311778986
key_metrics_freeCashFlowToEquity_rk,0.0036770085892120826
key_metrics_returnOnInvestedCapital_rk,0.003666912894561157
accruedExpenses_rk,0.0036659565035596607
ratios_priceToSalesRatio_rk,0.0036492174704938355
enterprise_values_numberOfShares_rk,0.0036347316940048727
ratios_netProfitMargin_rk,0.003618107441739395
ratios_operatingProfitMargin_rk,0.003579941871769543
income_statement_costAndExpenses_rk,0.003569035587193973
balance_sheet_netReceivables_rk,0.0034829067242714436
enterprise_values_enterpriseValue_rk,0.003459997430291628
ratios_priceToOperatingCashFlowRatio_rk,0.003436610327024158
balance_sheet_retainedEarnings_rk,0.003432660702864882
ratios_operatingCashFlowPerShare_rk,0.0034239179076586868
income_statement_grossProfit_rk,0.0034219463563664528
ratios_capitalExpenditureCoverageRatio_rk,0.0034151258451993777
ratios_ebitdaMargin_rk,0.003404387738356185
ratios_continuousOperationsProfitMargin_rk,0.0033420144213961553
sales_yield_rk,0.00330564357522279
ratios_interestDebtPerShare_rk,0.0032539073096270574
otherWorkingCapital_rk,0.003239248444809446
commonStockRepurchased_rk,0.0032225879871853155
longTermNetDebtIssuance_rk,0.003192488097920665
key_metrics_returnOnAssets_rk,0.003188715439355215
ratios_dividendPerShare_rk,0.0031776670563617255
balance_sheet_totalLiabilitiesAndTotalEquity_rk,0.003112094657921789
pe_rk,0.0030671928423863944
balance_sheet_netDebt_rk,0.003059646433750544
ratios_ebitMargin_rk,0.003045942347865008
deferredIncomeTax_rk,0.0030367181841831014
