model,strategy,period,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,hit_rate,avg_turnover,n_rebalances,n_stops_total,stop_loss_savings_total,stop_commission_total,stop_slippage_drag_total
logit,quintile_short,ALL,0.15520909510309133,0.18759155314740417,0.8626317577011486,1.7865588648955346,-0.3364568444410474,0.46130461504190456,0.5584415584415584,0.2870942039062773,154,1083,3.326752757181425,0.10455343052663321,0.2091068610532664
logit,quintile_short,IS,0.11438227308240823,0.19398582402548337,0.6520775154751033,1.2967442169720031,-0.3364568444410474,0.3399612014801792,0.5378151260504201,0.29273144334598983,119,0,0.0,0.0,0.0
logit,quintile_short,OOS,0.30554057801553736,0.16172799336048604,1.7432962058393933,4.6062328063821205,-0.12281318996056922,2.4878482361188983,0.6285714285714286,0.26792758981125475,35,0,0.0,0.0,0.0
logit,long_short_quintile,ALL,0.36850701250380635,0.12348888819244479,2.63278487465862,9.508711525924227,-0.09696300867192753,3.800490697959288,0.7922077922077922,0.552191222764394,154,1439,3.82527934983151,0.1396628263108169,0.2793256526216338
logit,long_short_quintile,IS,0.3396436047122422,0.11680304292698328,2.5896350123923213,9.108659342888764,-0.09696300867192753,3.502816273589651,0.7983193277310925,0.5702871654048559,119,0,0.0,0.0,0.0
logit,long_short_quintile,OOS,0.47137503816074466,0.1435819326740201,2.8005190001677143,10.76748792866143,-0.06535857579236803,7.212137541953407,0.7714285714285715,0.49066501778682364,35,0,0.0,0.0,0.0
naive,quintile_short,ALL,0.047765417655367015,0.18466467598607655,0.34296840120586103,0.5764750514102892,-0.48091656564954743,0.09932163095869427,0.4973821989528796,0.12139673760378698,191,1023,2.1361431179237185,0.10489160327552259,0.20978320655104518
naive,quintile_short,IS,0.03448675848364302,0.19162045061240116,0.27004809946594965,0.45196691936327993,-0.48091656564954743,0.0717104814991425,0.48717948717948717,0.12168617465528132,156,0,0.0,0.0,0.0
naive,quintile_short,OOS,0.10905408910687919,0.15130036114467277,0.7599512010980171,1.332808356640551,-0.12063802918726196,0.9039777078718565,0.5428571428571428,0.12010667531712649,35,0,0.0,0.0,0.0
naive,long_short_quintile,ALL,0.3244455953645502,0.13067412896223382,2.2387063165983996,5.9026284150272454,-0.12150279165289579,2.670272764525552,0.7382198952879581,0.3680671299871578,191,1793,3.429538014673297,0.18419252540493875,0.3683850508098775
naive,long_short_quintile,IS,0.29798847456567046,0.13638985340250923,1.9987097222441514,5.232558616715677,-0.12150279165289579,2.452523687002614,0.7051282051282052,0.38392703999810934,156,0,0.0,0.0,0.0
naive,long_short_quintile,OOS,0.4490832825389528,0.09894281196780462,3.8547951026947316,10.5498063179564,-0.04197358863381673,10.699187206908043,0.8857142857142857,0.2973772453669168,35,0,0.0,0.0,0.0
