feature,gain,split
key_metrics_operatingReturnOnAssets_rk,161.26493108272552,30.0
cash_flow_otherFinancingActivities_rk,160.95981872081757,30.0
ratios_operatingCashFlowPerShare_rk,160.10406947135925,22.0
income_statement_costOfRevenue_rk,159.6088490486145,29.0
financial_growth_ebitdaGrowth_rk,158.1176302433014,34.0
balance_sheet_accountPayables_rk,158.11704015731812,23.0
key_metrics_interestBurden_rk,155.26994967460632,29.0
balance_sheet_retainedEarnings_rk,155.17503023147583,28.0
income_statement_interestExpense_rk,154.92516016960144,24.0
ratios_operatingCashFlowRatio_rk,154.37209963798523,29.0
financial_growth_weightedAverageSharesDilutedGrowth_rk,154.30002117156982,32.0
balance_sheet_propertyPlantEquipmentNet_rk,154.159099817276,24.0
key_metrics_daysOfPayablesOutstanding_rk,153.82324981689453,29.0
cash_flow_netCashProvidedByFinancingActivities_rk,153.2369201183319,28.0
key_metrics_returnOnCapitalEmployed_rk,151.65738916397095,31.0
ratios_priceToFreeCashFlowRatio_rk,150.7703799009323,29.0
ratios_ebitMargin_rk,150.29078018665314,28.0
ratios_freeCashFlowOperatingCashFlowRatio_rk,149.13040018081665,29.0
ratios_cashPerShare_rk,148.4992799758911,23.0
ratios_solvencyRatio_rk,146.11806964874268,27.0
balance_sheet_accumulatedOtherComprehensiveIncomeLoss_rk,145.00706934928894,28.0
key_metrics_cashConversionCycle_rk,143.83369052410126,30.0
key_metrics_netCurrentAssetValue_rk,143.14315032958984,22.0
key_metrics_averageInventory_rk,142.16725039482117,25.0
cfo_to_ni_rk,141.1802897453308,29.0
ratios_priceToEarningsRatio_rk,139.1749792098999,28.0
ratios_financialLeverageRatio_rk,138.33809971809387,25.0
key_metrics_investedCapital_rk,136.62388026714325,20.0
adv_aud_rk,135.2526899576187,30.0
income_statement_totalOtherIncomeExpensesNet_rk,135.18856012821198,23.0
ratios_dividendPerShare_rk,134.39283871650696,22.0
financial_growth_ebitgrowth_rk,134.39270055294037,29.0
cash_flow_cashAtBeginningOfPeriod_rk,134.37307035923004,25.0
balance_sheet_capitalLeaseObligationsCurrent_rk,132.67038023471832,29.0
key_metrics_freeCashFlowToFirm_rk,131.57977986335754,19.0
ratios_capexPerShare_rk,130.57679986953735,22.0
ratios_interestDebtPerShare_rk,130.2038390636444,20.0
balance_sheet_longTermInvestments_rk,129.7913303375244,27.0
financial_growth_epsdilutedGrowth_rk,129.13254022598267,28.0
key_metrics_returnOnAssets_rk,128.75329065322876,25.0
balance_sheet_totalInvestments_rk,125.11914014816284,24.0
ratios_debtToMarketCap_rk,121.76003980636597,25.0
key_metrics_daysOfInventoryOutstanding_rk,121.45209002494812,24.0
financial_growth_tenYBottomLineNetIncomeGrowthPerShare_rk,120.91932845115662,23.0
cash_flow_cashAtEndOfPeriod_rk,120.32322931289673,22.0
ratios_grossProfitMargin_rk,119.5462703704834,22.0
ratios_cashRatio_rk,119.43412065505981,23.0
cash_flow_netCashProvidedByInvestingActivities_rk,119.02928948402405,18.0
amihud_rk,118.5789008140564,21.0
balance_sheet_capitalLeaseObligationsNonCurrent_rk,117.96739172935486,19.0
financial_growth_epsgrowth_rk,117.84511017799377,24.0
ratios_netProfitMargin_rk,116.51765871047974,17.0
ratios_priceToSalesRatio_rk,115.95864999294281,21.0
ratios_quickRatio_rk,115.59680008888245,20.0
ratios_freeCashFlowPerShare_rk,114.614990234375,24.0
balance_sheet_commonStock_rk,113.59082007408142,23.0
ratios_operatingCashFlowSalesRatio_rk,110.478919506073,19.0
ratios_bookValuePerShare_rk,109.96107137203217,14.0
key_metrics_grahamNumber_rk,108.7996598482132,21.0
balance_sheet_otherCurrentAssets_rk,108.03213953971863,26.0
income_statement_operatingExpenses_rk,108.02232003211975,22.0
sales_yield_rk,107.82561016082764,24.0
key_metrics_freeCashFlowToEquity_rk,107.77895092964172,20.0
ratios_currentRatio_rk,107.5909903049469,18.0
balance_sheet_totalNonCurrentLiabilities_rk,107.25980949401855,16.0
balance_sheet_netReceivables_rk,104.80820083618164,17.0
log_mktcap_rk,104.00815868377686,19.0
financial_growth_netIncomeGrowth_rk,102.43505072593689,18.0
ratios_assetTurnover_rk,101.95932960510254,21.0
balance_sheet_goodwillAndIntangibleAssets_rk,101.95426893234253,19.0
key_metrics_marketCap_rk,100.71096014976501,13.0
key_metrics_tangibleAssetValue_rk,96.51199054718018,16.0
income_statement_depreciationAndAmortization_rk,96.48167014122009,17.0
key_metrics_researchAndDevelopementToRevenue_rk,95.61600995063782,19.0
ratios_longTermDebtToCapitalRatio_rk,95.49305033683777,18.0
financial_growth_fiveYNetIncomeGrowthPerShare_rk,94.04578924179077,18.0
preferredDividendsPaid_rk,91.71923923492432,7.0
balance_sheet_totalPayables_rk,91.59996056556702,16.0
balance_sheet_cashAndCashEquivalents_rk,91.51738095283508,13.0
ratios_debtToEquityRatio_rk,91.01664972305298,16.0
key_metrics_incomeQuality_rk,90.72635042667389,17.0
balance_sheet_longTermDebt_rk,90.63539910316467,19.0
ratios_continuousOperationsProfitMargin_rk,90.44870018959045,17.0
cash_flow_depreciationAndAmortization_rk,90.27688980102539,18.0
balance_sheet_cashAndShortTermInvestments_rk,90.24743986129761,12.0
key_metrics_evToSales_rk,87.09574937820435,15.0
ratios_pretaxProfitMargin_rk,86.05574011802673,19.0
ratios_capitalExpenditureCoverageRatio_rk,86.03837013244629,15.0
financial_growth_tenYNetIncomeGrowthPerShare_rk,85.47373938560486,19.0
key_metrics_averagePayables_rk,84.84770083427429,14.0
key_metrics_returnOnInvestedCapital_rk,84.66205966472626,19.0
otherTotalStockholdersEquity_rk,84.127281665802,10.0
income_statement_netIncome_rk,83.95256996154785,12.0
cash_flow_capitalExpenditure_rk,80.94031023979187,17.0
income_statement_netIncomeFromContinuingOperations_rk,79.32522058486938,10.0
balance_sheet_totalStockholdersEquity_rk,79.19134986400604,14.0
ratios_netIncomePerShare_rk,79.07735919952393,14.0
shortTermNetDebtIssuance_rk,77.93005931377411,12.0
income_statement_bottomLineNetIncome_rk,75.93211078643799,14.0
cash_flow_investmentsInPropertyPlantAndEquipment_rk,75.52083992958069,14.0
income_statement_operatingIncome_rk,75.32576942443848,10.0
key_metrics_enterpriseValue_rk,75.24332022666931,14.0
balance_sheet_netDebt_rk,75.20860981941223,13.0
income_statement_grossProfit_rk,75.06373929977417,17.0
otherLiabilities_rk,74.85461950302124,9.0
cash_flow_netIncome_rk,74.1808602809906,13.0
rdexpenseGrowth_rk,73.84868907928467,15.0
ratios_shareholdersEquityPerShare_rk,71.57358908653259,10.0
ratios_bottomLineProfitMargin_rk,71.05000078678131,18.0
income_statement_ebitda_rk,70.7415702342987,14.0
balance_sheet_totalDebt_rk,70.09022951126099,12.0
accruedExpenses_rk,68.50515937805176,12.0
key_metrics_averageReceivables_rk,68.136070728302,12.0
income_statement_epsDiluted_rk,66.99497890472412,11.0
income_statement_eps_rk,65.97385036945343,14.0
key_metrics_grahamNetNet_rk,65.6682300567627,18.0
netChangeInCash_rk,64.53903913497925,11.0
netIncomeFromDiscontinuedOperations_rk,63.606029748916626,9.0
ratios_priceToOperatingCashFlowRatio_rk,61.80876040458679,11.0
cash_flow_netCommonStockIssuance_rk,59.7956200838089,11.0
cash_flow_freeCashFlow_rk,59.60758948326111,10.0
balance_sheet_totalAssets_rk,55.84560012817383,12.0
inventoryTurnover_rk,54.22789001464844,5.0
ratios_debtToAssetsRatio_rk,53.24536967277527,8.0
balance_sheet_totalEquity_rk,52.87716054916382,10.0
key_metrics_netDebtToEBITDA_rk,51.93064057826996,11.0
capitalLeaseObligationsCurrent_rk,51.24886083602905,9.0
income_statement_revenue_rk,50.81197011470795,11.0
ebtPerEbit_rk,49.95560073852539,8.0
grossProfitGrowth_rk,49.501920223236084,6.0
weightedAverageShsOutDil_rk,49.06346082687378,4.0
inventory_rk,48.51300048828125,8.0
