Date,Ticker,model,bucket,period,score,stock_return,short_return
2014-04-24,HVN,naive,quintile,IS,0.9115646258503401,-0.05671625139182879,0.05671625139182879
2014-04-24,HZN,naive,quintile,IS,0.9455782312925171,0.013513561688601072,-0.013513561688601072
2014-04-24,ILU,naive,quintile,IS,0.9659863945578231,-0.021566348725223228,0.021566348725223228
2014-04-24,JBH,naive,quintile,IS,0.9931972789115646,-0.09270207317947987,0.09270207317947987
2014-04-24,KAR,naive,quintile,IS,0.8945578231292517,-0.15463917119928128,0.15463917119928128
2014-04-24,LYC,naive,quintile,IS,0.9285714285714286,-0.3513514096180754,0.3513514096180754
2014-04-24,MND,naive,quintile,IS,0.9965986394557823,0.013370305926383885,-0.013370305926383885
2014-04-24,MSB,naive,quintile,IS,0.9319727891156463,-0.03420530686741252,0.03420530686741252
2014-04-24,MTS,naive,quintile,IS,0.9829931972789115,0.01444049106019163,-0.01444049106019163
2014-04-24,MYR,naive,quintile,IS,0.9897959183673469,-0.013333620140312141,0.013333620140312141
2014-04-24,NUF,naive,quintile,IS,0.9149659863945578,0.040572830852015906,-0.040572830852015906
2014-04-24,NWH,naive,quintile,IS,0.8673469387755102,-0.1404256697534393,0.1404256697534393
2014-04-24,NXT,naive,quintile,IS,0.9030612244897959,-0.0777477501854571,0.0777477501854571
2014-04-24,PDN,naive,quintile,IS,0.9591836734693877,-0.16304360953248553,0.16304360953248553
2014-04-24,RRL,naive,quintile,IS,0.9030612244897959,-0.07692317951871741,0.07692317951871741
2014-04-24,SBM,naive,quintile,IS,0.8979591836734694,-0.13333886349402846,0.13333886349402846
2014-04-24,SGM,naive,quintile,IS,0.9217687074829932,-0.06163030114972867,0.06163030114972867
2014-04-24,SPL,naive,quintile,IS,0.891156462585034,-0.04761908237394186,0.04761908237394186
2014-04-24,SYR,naive,quintile,IS,0.8231292517006803,-0.02046778856528697,0.02046778856528697
2014-04-24,TWE,naive,quintile,IS,0.9489795918367347,0.28311700725451305,-0.28311700725451305
2014-04-24,WHC,naive,quintile,IS,0.9251700680272109,-0.03525638201644554,0.03525638201644554
2014-05-30,ACR,naive,quintile,IS,0.9781879194630873,0.1551723922864927,-0.1551723922864927
2014-05-30,ALQ,naive,quintile,IS,0.9546979865771812,0.025407628169882956,-0.025407628169882956
2014-05-30,ANN,naive,quintile,IS,0.8154362416107382,0.038961064233502984,-0.038961064233502984
2014-05-30,BRU,naive,quintile,IS,0.8993288590604027,0.03125036117154556,-0.03125036117154556
2014-05-30,CDU,naive,quintile,IS,0.8456375838926175,-0.025140220533495405,0.025140220533495405
2014-05-30,COH,naive,quintile,IS,1.0,0.04893928234632883,-0.04893928234632883
2014-05-30,ELD,naive,quintile,IS,0.8657718120805369,0.3703710132924969,-0.3703710132924969
2014-05-30,EVN,naive,quintile,IS,0.8590604026845637,-0.06579047198252297,0.06579047198252297
2014-05-30,FLT,naive,quintile,IS,0.9328859060402684,-0.10646847451313157,0.10646847451313157
2014-05-30,FMG,naive,quintile,IS,0.8926174496644296,0.031746212809919516,-0.031746212809919516
2014-05-30,FWD,naive,quintile,IS,0.8322147651006712,0.0272724973044145,-0.0272724973044145
2014-05-30,GNC,naive,quintile,IS,0.8187919463087249,-0.035187328996670986,0.035187328996670986
2014-05-30,GWA,naive,quintile,IS,0.8758389261744967,0.026923202064158325,-0.026923202064158325
2014-05-30,HVN,naive,quintile,IS,0.9060402684563759,-0.024999661270955986,0.024999661270955986
2014-05-30,HZN,naive,quintile,IS,0.9161073825503355,-0.040540744481744495,0.040540744481744495
2014-05-30,ILU,naive,quintile,IS,0.9697986577181208,-0.05517257452634294,0.05517257452634294
2014-05-30,JBH,naive,quintile,IS,0.9832214765100671,0.0005513428531085385,-0.0005513428531085385
2014-05-30,KAR,naive,quintile,IS,0.9093959731543624,0.2642275305883526,-0.2642275305883526
2014-05-30,LYC,naive,quintile,IS,0.9278523489932886,0.0,-0.0
2014-05-30,MIN,naive,quintile,IS,0.889261744966443,-0.049951306209752744,0.049951306209752744
2014-05-30,MND,naive,quintile,IS,0.9966442953020134,-0.09977451237723012,0.09977451237723012
2014-05-30,MSB,naive,quintile,IS,0.9278523489932886,-0.051652784348045655,0.051652784348045655
2014-05-30,MTS,naive,quintile,IS,0.9899328859060402,-0.025362103253586676,0.025362103253586676
2014-05-30,MYR,naive,quintile,IS,0.9865771812080537,-0.004651135841984511,0.004651135841984511
2014-05-30,NUF,naive,quintile,IS,0.9228187919463087,0.0932398743221623,-0.0932398743221623
2014-05-30,NWH,naive,quintile,IS,0.8791946308724832,-0.045454442660088024,0.045454442660088024
2014-05-30,NXT,naive,quintile,IS,0.9395973154362416,-0.10769233592227612,0.10769233592227612
2014-05-30,PDN,naive,quintile,IS,0.9731543624161074,-0.21794879493717056,0.21794879493717056
2014-05-30,RFG,naive,quintile,IS,0.8221476510067114,0.07801436718948107,-0.07801436718948107
2014-05-30,RRL,naive,quintile,IS,0.8959731543624161,0.05466306880185545,-0.05466306880185545
2014-05-30,SBM,naive,quintile,IS,0.8859060402684564,-0.14285220291744705,0.14285220291744705
2014-05-30,SGM,naive,quintile,IS,0.912751677852349,0.014492893183283284,-0.014492893183283284
2014-05-30,SPL,naive,quintile,IS,0.8825503355704698,-0.050000049670535285,0.050000049670535285
2014-05-30,SYR,naive,quintile,IS,0.8422818791946308,0.12972984014066435,-0.12972984014066435
2014-05-30,TWE,naive,quintile,IS,0.9026845637583892,-0.04038446075122637,0.04038446075122637
2014-05-30,WHC,naive,quintile,IS,0.9362416107382551,-0.03030297302177143,0.03030297302177143
2014-06-27,ACR,naive,quintile,IS,0.9966555183946488,0.5124377894562293,-0.5124377894562293
2014-06-27,ALQ,naive,quintile,IS,0.9732441471571907,-0.11482712626908154,0.11482712626908154
2014-06-27,ANN,naive,quintile,IS,0.8361204013377926,-0.059999792031808497,0.059999792031808497
2014-06-27,BRU,naive,quintile,IS,0.9096989966555183,-0.2597401649962212,0.2597401649962212
2014-06-27,CDU,naive,quintile,IS,0.8311036789297659,-0.0057305035188830455,0.0057305035188830455
